Município;State;Municipality; Gross Rol [%] ;Gross Rol [%];Risk_period 1;Limit (Mio) 1;Exit 1; Strike 1;Risk_period 2;Limit (Mio) 2;Exit 2; Strike 2;Area (The client selects);Value per hectare (The client selects);Prize;Maximum indemnity limit;Maximum indemnity limit - STRIKE 1;Maximum indemnity limit - STRIKE 2; Amount paid per millimeter - Strike 1 ; Amount paid per millimeter - Strike 2 
Rondonopolis - MT;mato grosso;Rondonopolis;4.88;0.04875;10-15 / 12-15;5;0;251;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;997.77;714.29
Santa Carmem - MT;mato grosso;Santa Carmem;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Santa Cruz Do Xingu - MT;mato grosso;Santa Cruz Do Xingu;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Sao Felix Do Araguaia - MT;mato grosso;Sao Felix Do Araguaia;4.88;0.04875;10-15 / 12-15;5;0;336;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;744.86;714.29
Sao Jose Do Xingu - MT;mato grosso;Sao Jose Do Xingu;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Sinop - MT;mato grosso;Sinop;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Sorriso - MT;mato grosso;Sorriso;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Tabapora - MT;mato grosso;Tabapora;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Vera - MT;mato grosso;Vera;4.88;0.04875;10-15 / 12-15;5;0;350;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;714.29;714.29
Vila Rica - MT;mato grosso;Vila Rica;4.88;0.04875;10-15 / 12-15;5;0;340;12-15 / 02-15;5;0;350.00;100.00;5000.00;24375.00;500000.00;250000.00;250000.00;734.23;714.29
Agua Clara - MS;mato grosso do sul;Agua Clara;7.65;0.0765;11-01 / 01-01;5;0;238;01-01 / 03-01;5;0;298.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1050.52;839.88
Amambai - MS;mato grosso do sul;Amambai;7.65;0.0765;11-01 / 01-01;5;0;174;01-01 / 03-01;5;0;219.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1433.98;1143.28
Anaurilandia - MS;mato grosso do sul;Anaurilandia;7.65;0.0765;11-01 / 01-01;5;0;146;01-01 / 03-01;5;0;210.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1711.32;1191.96
Angelica - MS;mato grosso do sul;Angelica;7.65;0.0765;11-01 / 01-01;5;0;186;01-01 / 03-01;5;0;203.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1344.75;1228.80
Antonio Joao - MS;mato grosso do sul;Antonio Joao;7.65;0.0765;11-01 / 01-01;5;0;205;01-01 / 03-01;5;0;214.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1221.71;1166.03
Aral Moreira - MS;mato grosso do sul;Aral Moreira;7.65;0.0765;11-01 / 01-01;5;0;193;01-01 / 03-01;5;0;227.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1292.35;1099.69
Bandeirantes - MS;mato grosso do sul;Bandeirantes;7.65;0.0765;11-01 / 01-01;5;0;258;01-01 / 03-01;5;0;291.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;970.49;857.73
Bataguassu - MS;mato grosso do sul;Bataguassu;7.65;0.0765;11-01 / 01-01;5;0;163;01-01 / 03-01;5;0;211.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1537.46;1185.48
Bataypora - MS;mato grosso do sul;Bataypora;7.65;0.0765;11-01 / 01-01;5;0;129;01-01 / 03-01;5;0;204.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1939.68;1227.79
Bela Vista - MS;mato grosso do sul;Bela Vista;7.65;0.0765;11-01 / 01-01;5;0;192;01-01 / 03-01;5;0;198.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1303.99;1264.42
Bonito - MS;mato grosso do sul;Bonito;7.65;0.0765;11-01 / 01-01;5;0;235;01-01 / 03-01;5;0;243.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1062.77;1027.22
Caarapo - MS;mato grosso do sul;Caarapo;7.65;0.0765;11-01 / 01-01;5;0;181;01-01 / 03-01;5;0;216.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1383.96;1156.59
Camapua - MS;mato grosso do sul;Camapua;7.65;0.0765;11-01 / 01-01;5;0;261;01-01 / 03-01;5;0;319.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;957.26;783.67
Campo Grande - MS;mato grosso do sul;Campo Grande;7.65;0.0765;11-01 / 01-01;5;0;239;01-01 / 03-01;5;0;268.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1047.13;931.87
Caracol - MS;mato grosso do sul;Caracol;7.65;0.0765;11-01 / 01-01;5;0;181;01-01 / 03-01;5;0;197.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1383.20;1266.99
Coronel Sapucaia - MS;mato grosso do sul;Coronel Sapucaia;7.65;0.0765;11-01 / 01-01;5;0;200;01-01 / 03-01;5;0;214.00;100.00;5000.00;38250.00;500000.00;250000.00;250000.00;1252.16;1168.82
